description,impact,failureSummary,id,help,helpUrl
"Ensures every id attribute value is unique",minor,"Fix any of the following::  Document has multiple static elements with the same id attribute",duplicate-id,id attribute value must be unique,https://dequeuniversity.com/rules/axe/3.5/duplicate-id?application=axeAPI
"Ensures the document has a main landmark",moderate,"Fix all of the following::  Document does not have a main landmark",landmark-one-main,Document must have one main landmark,https://dequeuniversity.com/rules/axe/3.5/landmark-one-main?application=axeAPI
"Ensures links have discernible text",serious,"Fix all of the following::  Element is in tab order and does not have accessible text::Fix any of the following::  Element does not have text that is visible to screen readers:  aria-label attribute does not exist or is empty:  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty:  Element's default semantics were not overridden with role="presentation":  Element's default semantics were not overridden with role="none"",link-name,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.5/link-name?application=axeAPI
"Ensures all page content is contained by landmarks",moderate,"Fix any of the following::  Some page content is not contained by landmarks",region,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.5/region?application=axeAPI
"Ensures tabindex attribute values are not greater than 0",serious,"Fix any of the following::  Element has a tabindex greater than 0",tabindex,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.5/tabindex?application=axeAPI
